"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 10 13:17:03 GMT 2024","Wed Apr 10 13:17:03 GMT 2024","144","Image Registration","Submitting an image with valid inputs using enter key","","","","And the list of registered images should be updated with the new item",""
"passed","Wed Apr 10 13:17:01 GMT 2024","Wed Apr 10 13:17:01 GMT 2024","93","Image Registration","Submitting an image with invalid inputs","","","","Then I click the submit button",""
"passed","Wed Apr 10 13:17:04 GMT 2024","Wed Apr 10 13:17:04 GMT 2024","95","Image Registration","Submitting an image and updating the list","","","","Then I have entered ""https://storage.googleapis.com/pai-images/8eb10978927d49fbbb3e9650855e55a5.jpeg"" in the URL field",""
"passed","Wed Apr 10 13:17:01 GMT 2024","Wed Apr 10 13:17:02 GMT 2024","300","Image Registration","Submitting an image with valid inputs using enter key","","","","When I enter ""Humanoide E.T"" in the title field",""
"passed","Wed Apr 10 13:17:01 GMT 2024","Wed Apr 10 13:17:01 GMT 2024","56","Image Registration","Submitting an image with invalid inputs","","","","And I should see an exclamation icon in the title and URL fields",""
"passed","Wed Apr 10 13:17:01 GMT 2024","Wed Apr 10 13:17:01 GMT 2024","55","Image Registration","Submitting an image with valid inputs using enter key","","","","Given I am on the image registration page",""
"passed","Wed Apr 10 13:17:01 GMT 2024","Wed Apr 10 13:17:01 GMT 2024","423","Image Registration","Submitting an image with invalid inputs","","","","Given I am on the image registration page",""
"passed","Wed Apr 10 13:17:03 GMT 2024","Wed Apr 10 13:17:03 GMT 2024","84","Image Registration","Submitting an image with valid inputs using enter key","","","","And the new item should be stored in the localStorage",""
"passed","Wed Apr 10 13:17:01 GMT 2024","Wed Apr 10 13:17:01 GMT 2024","17","Image Registration","Submitting an image with invalid inputs","","","","And I should see ""Please type a valid URL"" message above the imageUrl field",""
"passed","Wed Apr 10 13:17:04 GMT 2024","Wed Apr 10 13:17:04 GMT 2024","12","Image Registration","Submitting an image and updating the list","","","","Then The inputs should be cleared",""
"passed","Wed Apr 10 13:17:01 GMT 2024","Wed Apr 10 13:17:01 GMT 2024","16","Image Registration","Submitting an image with invalid inputs","","","","Then I should see ""Please type a title for the image"" message above the title field",""
"passed","Wed Apr 10 13:17:04 GMT 2024","Wed Apr 10 13:17:04 GMT 2024","83","Image Registration","Submitting an image and updating the list","","","","Then I click the submit button",""
"passed","Wed Apr 10 13:17:04 GMT 2024","Wed Apr 10 13:17:04 GMT 2024","52","Image Registration","Refreshing the page after submitting an image clicking in the submit button","","","","Given I am on the image registration page",""
"passed","Wed Apr 10 13:17:03 GMT 2024","Wed Apr 10 13:17:03 GMT 2024","11","Image Registration","Submitting an image with valid inputs using enter key","","","","Then The inputs should be cleared",""
"passed","Wed Apr 10 13:17:04 GMT 2024","Wed Apr 10 13:17:04 GMT 2024","348","Image Registration","Refreshing the page after submitting an image clicking in the submit button","","","","Then I have submitted an image by clicking the submit button",""
"passed","Wed Apr 10 13:17:03 GMT 2024","Wed Apr 10 13:17:04 GMT 2024","343","Image Registration","Submitting an image and updating the list","","","","Then I have entered ""Alien Glass Statue"" in the title field",""
"passed","Wed Apr 10 13:17:02 GMT 2024","Wed Apr 10 13:17:02 GMT 2024","82","Image Registration","Submitting an image with valid inputs using enter key","","","","Then I should see a check icon in the fields",""
"passed","Wed Apr 10 13:17:05 GMT 2024","Wed Apr 10 13:17:05 GMT 2024","209","Image Registration","Refreshing the page after submitting an image clicking in the submit button","","","","Then I should still see the submitted image in the list of registered images",""
"passed","Wed Apr 10 13:17:03 GMT 2024","Wed Apr 10 13:17:03 GMT 2024","49","Image Registration","Submitting an image and updating the list","","","","Given I am on the image registration page",""
"passed","Wed Apr 10 13:17:01 GMT 2024","Wed Apr 10 13:17:01 GMT 2024","11","Image Registration","Submitting an image with invalid inputs","","","","Then I enter """" in the URL field",""
"passed","Wed Apr 10 13:17:04 GMT 2024","Wed Apr 10 13:17:04 GMT 2024","43","Image Registration","Submitting an image and updating the list","","","","And the new item should be stored in the localStorage",""
"passed","Wed Apr 10 13:17:04 GMT 2024","Wed Apr 10 13:17:05 GMT 2024","537","Image Registration","Refreshing the page after submitting an image clicking in the submit button","","","","When I refresh the page",""
"passed","Wed Apr 10 13:17:01 GMT 2024","Wed Apr 10 13:17:01 GMT 2024","7","Image Registration","Submitting an image with invalid inputs","","","","When I enter """" in the title field",""
"passed","Wed Apr 10 13:17:04 GMT 2024","Wed Apr 10 13:17:04 GMT 2024","149","Image Registration","Submitting an image and updating the list","","","","And the list of registered images should be updated with the new item",""
"passed","Wed Apr 10 13:17:02 GMT 2024","Wed Apr 10 13:17:03 GMT 2024","575","Image Registration","Submitting an image with valid inputs using enter key","","","","Then I can hit enter to submit the form",""
"passed","Wed Apr 10 13:17:02 GMT 2024","Wed Apr 10 13:17:02 GMT 2024","143","Image Registration","Submitting an image with valid inputs using enter key","","","","When I enter ""https://static.vecteezy.com/ti/fotos-gratis/t1/22911203-estrangeiro-humanoide-retrato-em-sombrio-fundo-invasao-do-extraterrestre-estrangeiro-rapto-criada-com-generativo-ai-gratis-foto.jpg"" in the URL field",""
